Nom,Ãge,NA,Cor,Cen,Drb,Apl,Agr,Fin,Ctn,Ctr,DÃ©t,Ins,Col,DÃ©c,Ãqu,CF,Acc,Pui,Pla,Phy,Vol,Vit,Agi,DÃ©t.1,Sgf,End,Crg,Ldr,Vis,Ant,TÃªt,Tir,T Lg,Mar,Pas,Pen,Tcl,Tec,NA_end
Matthijs de Ligt,23,160,4,7,10,9,16,8,13,12,16,10,15,14,16,10,12,18,16,13,16,14,11,16,15,15,18,17,12,14,16,10,5,16,14,8,16,13,168
Kim Min-Jae,26,162,2,7,11,8,17,7,14,12,18,8,14,14,16,3,14,17,16,16,17,15,12,16,15,15,17,13,12,15,16,6,7,16,14,6,16,12,163
Alphonso Davies,22,156,10,11,17,13,15,9,10,12,17,16,14,12,12,11,19,12,10,14,16,19,14,11,12,15,15,8,12,11,9,9,14,9,12,11,14,13,165
Dayot Upamecano,24,156,3,7,12,10,16,7,13,13,16,12,16,14,16,3,15,17,15,15,15,17,12,15,16,14,17,10,15,13,14,6,10,15,16,7,17,13,159
Niklas SÃ¼le,27,154,3,12,12,11,11,8,14,12,14,12,12,13,17,5,12,18,15,12,12,16,10,17,15,13,15,12,13,14,15,12,11,15,14,8,15,13,154
Mats Hummels,34,152,4,11,11,9,13,8,15,14,16,13,15,14,16,7,9,16,16,15,12,12,9,16,17,11,16,16,16,16,16,9,8,15,16,12,17,15,147
Noussair Mazraoui,25,149,8,12,14,14,13,9,12,15,12,15,16,13,12,7,14,10,12,11,16,14,15,11,13,15,15,11,14,12,11,12,12,11,14,10,14,15,149
Leonardo Bonucci,36,138,3,7,8,8,15,8,14,14,16,10,16,13,15,12,9,14,17,16,12,11,8,14,16,11,16,20,16,16,15,12,10,14,16,15,13,13,128
RaphaÃ«l Guerreiro,29,147,15,15,15,16,9,11,10,17,11,16,12,13,12,16,14,9,10,10,10,12,15,6,16,15,10,5,16,15,7,14,14,9,16,12,11,17,146
Mohamed Simakan,23,145,3,12,13,11,13,8,13,12,16,12,14,13,14,4,14,15,14,12,14,16,13,14,14,14,16,10,12,14,14,7,12,14,13,6,15,12,151
Ramy BensebaÃ¯ni,28,145,4,13,12,14,16,10,12,13,16,13,13,13,15,11,13,14,13,12,13,15,11,16,14,16,16,13,12,14,16,8,14,13,13,17,15,13,145
Jeremie Frimpong,22,146,7,12,16,16,13,11,10,12,14,16,12,12,11,7,18,10,9,16,15,18,16,7,11,15,13,7,12,13,6,8,8,9,12,7,12,14,151
Edmond Tapsoba,24,147,3,7,12,8,14,7,14,12,15,10,14,14,16,8,13,15,16,13,12,14,12,15,16,13,13,12,13,14,13,8,8,15,14,15,15,13,155
Ãlex Grimaldo,27,148,14,16,15,15,13,11,12,16,13,15,15,14,15,18,15,8,10,14,15,14,15,7,16,15,13,11,16,14,9,16,13,9,16,12,13,16,148
Robin Gosens,29,142,8,13,11,17,16,13,12,12,17,10,15,13,15,6,13,13,11,14,17,15,12,14,12,16,16,13,12,15,16,12,14,11,12,11,14,12,142
Castello Lukeba,20,138,6,7,12,9,14,6,14,12,15,11,14,13,14,6,13,14,15,13,14,15,12,13,16,13,14,12,13,16,13,7,12,14,14,7,13,13,151
Nico Schlotterbeck,23,147,3,10,13,10,16,8,12,12,18,13,15,13,15,6,13,16,14,13,17,14,12,16,15,13,17,12,14,13,15,12,14,14,15,9,16,13,147
Piero HincapiÃ©,21,136,3,10,12,11,17,6,13,12,16,11,13,12,13,4,14,14,14,13,15,15,12,13,13,14,16,10,12,13,13,6,12,15,13,8,15,12,142
Robin Koch,27,136,2,6,8,8,13,6,13,12,13,7,16,12,16,3,12,15,14,12,14,15,11,16,14,13,14,13,12,14,15,7,10,14,13,6,13,11,136
Nico Elvedi,26,136,4,8,8,9,13,6,14,12,12,7,16,13,15,4,13,13,14,13,13,15,11,15,14,14,14,12,12,13,14,6,8,14,14,7,13,12,136
David Raum,25,143,15,17,12,16,16,9,10,12,17,13,16,12,12,13,15,12,10,17,17,16,13,10,12,17,14,7,13,13,8,10,15,10,12,8,12,12,143
Willi OrbÃ¡n,30,149,3,7,8,9,15,9,14,11,17,8,15,14,16,3,11,16,15,17,16,12,10,15,13,14,17,16,12,14,17,7,8,16,13,8,16,11,151
Ko Itakura,26,138,3,7,11,9,14,7,14,12,16,12,16,13,14,3,13,13,15,15,16,13,12,13,15,14,15,12,12,16,13,7,6,15,14,8,14,12,141
